depth,num_children,num_attributes,tag
6,118,1,Item
2,0,2,ItemDatabaseParser
4,5155,4,UNK_MEMBER_0x093520C7
4,0,4,UNK_MEMBER_0x1715CBB7
1,0,1,UNK_MEMBER_0x3A4CA292
1,0,1,UNK_MEMBER_0x83866ADB
1,0,1,UNK_MEMBER_0xA14EADD4
2,0,2,UNK_MEMBER_0xCF0B6AEB
4,5155,4,abs
4,5155,4,acquirecosts
1,0,1,awards
1,0,1,bundles
6,386,1,cardinality
1,0,1,catalog
1,0,1,cataloglayout
4,5155,4,category
2,3173,2,costtype
2,1103,2,count
4,5155,4,description
2,5553,2,dict
2,76,2,durationcategory
4,5155,4,effectids
1,0,1,effectsids
5,226,0,equipped
4,5155,4,expiry
8,144,3,fitsslots
4,5735,4,flags
4,5155,4,group
8,144,3,hasslots
1,280,1,hidden
1,0,1,horses
8,5629,3,id
1,0,1,intrinsicitems
7,54992,2,item
2,0,2,itemcategories
1,0,1,itemcomponents
1,0,1,itempaths
1,0,1,itempathsets
1,0,1,itempricemodifiers
1,3770,1,items
6,34868,1,key
2,332,2,layout
8,144,3,layouts
9,2607,4,linkmenuid
9,2607,4,linkshopid
4,5155,4,localization
9,893,4,lock
6,386,1,maxdup
1,280,1,menudesc
8,291,3,menus
1,280,1,menutype
4,5155,4,model
4,5155,4,multiplicity
8,291,3,pages
4,43,4,path
2,34,2,paths
1,53,1,pathset
2,76,2,percent
1,0,1,pricemodifiers
4,5155,4,priorityaccess
2,0,2,pscversion
4,5155,4,purge
9,12759,4,quantity
1,630,1,requirementgroups
2,1103,2,requirements
4,5155,4,satchel
4,5155,4,sellprices
7,11,2,shopid
1,0,1,shopsinventories
7,11,2,shoptype
4,5155,4,size
8,6393,3,slotid
9,893,4,state
4,5155,4,tags
4,5155,4,textures
2,76,2,time
2,76,2,timeunits
3,23952,3,type
4,5155,4,ui
2,3173,2,unlocks
2,76,2,value
5,1808,0,values
1,0,1,version
